,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
198,Mongol,Sergéi Bodrov,Rusia,2007,Drama,126.0,"Tadanobu Asano Honglei Sun Khulan Chuluun, Aliya, Ba Sen, Amadu Mamadakov, He Qi, Ben Hon Sun",Mongol,"Sergei Selyanov, Sergéi Bodrov, Anton Melnik","Arif Aliyev, Sergéi Bodrov",Tuomas Kantelinen Altan Urag,"Sergey Trofimov, Rogier Stoffers",Emi Wada,"Kinokompaniya CTBAndreevski Flag, X-Filme Creative Pool",18000000.0,26403998.0,0,sergei bodrov,rusia,drama,tadanobu asano,mongol,sergei selyanov,arif aliyev,tuomas kantelinen,sergey trofimov,emi wada,kinokompaniya ctbandreevski,0.214666896874648,-0.13493178203631884,-0.11963927151762149
199,12,Nikita Mijalkov,Rusia,2007,Policíaca,159.0,"Serguéi Makovetski, Nikita Mijalkov, Serguéi Garmash, Valentín Gaft, Alekséi Petrenko, Yuri Stoyanov, Serguéi Gazarov, Mijaíl Yefremov, Alekséi Gorbunov, Serguéi Artsybashev, Víktor Verzhbitski, Roman Madianov, Aleksandr Adabashyan, Apti Magamayev","Ruso, Checheno","Nikita Mijalkov, Leonid Vereschaguin","Reginald Rose, Nikita Mijalkov, Aleksandr Novototski Vlasov, Vladímir Moseenko",Eduard Artiomev,Vladislav Opelyants,,"Tri, Te",25000000.0,4000000.0,0,nikita mijalkov,rusia,policiaca,serguei makovetski,ruso,nikita mijalkov,reginald rose,eduard artiomev,vladislav opelyants,,tri,1.138958043521449,-0.13492924942120502,-0.11964000496652238
200,Despedidas,Yōjirō Takita,Japón,2008,Drama,130.0,"Masahiro Motoki, Ryōko Hirosue, Tsutomu Yamazaki, Kimiko Yo, Kazuko Yoshiyuki, Takashi Sasano",Japonés,Toshiaki Nakazawa,Kundō Koyama,Joe Hisaishi,Takeshi Hamada,,Shochiku,,69932387.0,1,yojiro takita,japon,drama,masahiro motoki,japones,toshiaki nakazawa,kundo koyama,joe hisaishi,takeshi hamada,,shochiku,0.32670218737729056,,-0.11963784651084058
201,Der Baader Meinhof Komplex,Uli Edel,Alemania,2008,Drama,150.0,"Martina Gedeck, Moritz Bleibtreu, Johanna Wokalek, Bruno Ganz, Alexandra Maria Lara",Inglés,Bernd Eichinger,Bernd Eichinger,"Peter Hinderthür, Florian Tessloff",Rainer Klausmann,,Constantin Film,,,0,uli edel,alemania,drama,martina gedeck,ingles,bernd eichinger,bernd eichinger,peter hinderthur,rainer klausmann,,constantin film,0.8868786398905033,,
202,Entre les murs,Laurent Cantet,Francia,2008,Drama,128.0,"Cherif Bounaïdja Rachedi, Esmeralda Ouertani, Franck Keïta, François Bégaudeau, Juliette Demaille, Laura Baquela, Louise Grinberg, Nassim Amrabt, Nitany Gueyes, Rachel Régulier",Francés,Carole Scotta Caroline Benjo,François Bégaudeau  Robin Campillo  Laurent Cantet,,"Pierre Milon, Catherine Pujol, Georgi Lazarevski",Marie Le Garrec,Haut et Court,,,0,laurent cantet,francia,drama,cherif bounaidja,frances,carole scotta,francois begaudeau,,pierre milon,marie le,haut et,0.27068454212596926,,
203,Revanche,Götz Spielmann,Austria,2008,Drama,121.0,Michael-Joachim Heiss /Johannes Krisch /Andreas Lust /Irina Potapenko /Ursula Strauss/ Johannes Thanheiser /,Alemán,Götz Spielmann,Götz Spielmann,,Martin Gschlacht,,Prisma Film,,886407.0,0,gotz spielmann,austria,drama,michael-joachim heiss,aleman,gotz spielmann,gotz spielmann,,martin gschlacht,,prisma film,0.07462278374634482,,-0.11964010689749756
204,Waltz with Bashir,Ari Folman,Israel,2008,Documental,90.0,Ari Folman,Hebreo,"Ari Folman, Serge Lalou, Gerhard Meixner, Yael Nahlieli, Roman Paul",Ari Folman,Max Richter,Declan Quinn,,"Bridgit Folman Film Gang, Les Films d'Ici, Razor Film Produktion",2000000.0,11125849.0,0,ari folman,israel,documental,ari folman,hebreo,ari folman,ari folman,max richter,declan quinn,,bridgit folman,-0.793650717649135,-0.13493757087086472,-0.11963977168467167
205,El secreto de sus ojos,Juan José Campanella,Argentina,2009,Suspenso,127.0,"Ricardo Darín, Soledad Villamil, Pablo Rago, Javier Godino, Guillermo Francella",Español,"Juan José Campanella, Mariela Besuievski, Carolina Urbieta, Vanessa Ragone, Axel Kuschevatzky","Juan José Campanella, Eduardo Sacheri","Federico Jusid, Emilio Kauderer",Félix Monti,Cecilia Monti,"Haddock Films, Tornasol Films100 Bares, Telefe, Televisión Española, Canal+Con el apoyo de:Gobierno de España, Ministerio de Cultura de España, ICAAInstituto Nacional de Cine y Artes Audiovisuales, ICO",2000000.0,56965279.0,1,juan jose,argentina,suspenso,ricardo darin,espanol,juan jose,juan jose,federico jusid,felix monti,cecilia monti,haddock films,0.24267571950030864,-0.13493757087086472,-0.11963827102039064
206,Ajami,Scandar Copti,Israel,2009,Drama,120.0,"Fouad Habash, Ibrahim Frege, Scandar Copti, Shahir Kabaha, Eran Naim","Árabe, Hebreo","Moshe Danon, Thanassis Karathanos, Talia Kleinhendler","Scandar Copti, Yaron Shani",Rabih Boukhari,Boaz Yehonatan Yaacov,,,1000000.0,22000000.0,0,scandar copti,israel,drama,fouad habash,arabe,moshe danon,scandar copti,rabih boukhari,boaz yehonatan,,,0.04661396112068417,-0.13493793267302384,-0.11963941569311609
207,La teta asustada,Claudia Llosa,Perú,2009,Drama,93.0,"Magaly Solier, Susi Sánchez, Efraín Solís, Marino Ballón, Antolín Prieto",castellanoquechua sureño,"Antonio Chavarrías, Claudia Llosa, José María Morales",Claudia Llosa,Selma Mutal,Natasha Braier,,"Vela Producciones, Oberón Cinematográfica, Wanda Visión",,,0,claudia llosa,peru,drama,magaly solier,castellanoquechua sureno,antonio chavarrias,claudia llosa,selma mutal,natasha braier,,vela producciones,-0.709624249772153,,
208,Un Prophète,Jacques Audiard,"Francia, Italia",2009,Drama,155.0,"Tahar Rahim, Niels Arestrup Antoine Basler Adel Bencherif Hichem Yacoubi Reda Kateb Jean-Philippe Ricci Pierre Leccia Foued Nassah",FrancésÁrabe,"Martine Cassinelli, Antonin Dedet","Jacques Audiard, Thomas Bidegain, Abdel Raouf Dafri, Nicolas Peufaillit",Alexandre Desplat,Stéphane Fontaine,Virginie Montel,"Celluloid Dreams, Why Not Productions, Bi, M Distribuzione, UGCFrance 2Canal+Chic Films, Page 114",13000000.0,,0,jacques audiard,francia,drama,tahar rahim,francesarabe,martine cassinelli,jacques audiard,alexandre desplat,stephane fontaine,virginie montel,celluloid dreams,1.0269227530188065,-0.13493359104711444,
209,Das weiße Band,Michael Haneke,"Austria, Alemania, Francia, Italia",2009,Drama,144.0,"Christian Friedel, Ulrich Tukur, Josef Bierbichler",alemán,"Stefan Arndt, Veit Heiduschka, Michael Katz, Margaret Ménégoz, Andrea Occhipinti",Michael Haneke,,Christian Berger,,"Wega Film, X Filme",12000000.0,19100000.0,0,michael haneke,austria,drama,christian friedel,aleman,stefan arndt,michael haneke,,christian berger,,wega film,0.7188257041365395,-0.13493395284927354,-0.11963951063160934
210,Hævnen,Susanne Bier,Dinamarca,2010,Drama,113.0,"Mikael Persbrandt, Trine Dyrholm, Ulrich Thomsen",danés,Sisse Graum Jørgensen,"Anders Thomas Jensen, Susanne Bier, Per Nielsen",Johan Söderqvist,Morten Søborg,,Zentropa,,,1,susanne bier,dinamarca,drama,mikael persbrandt,danes,sisse graum,anders thomas,johan soderqvist,morten soborg,,zentropa,-0.14944779725894028,,
211,Biutiful,Alejandro González Iñárritu,México,2010,Drama,147.0,"Javier Bardem, Rubén Ochandiano, Eduard Fernández, Maricel Álvarez, Ana Wagener",Español,"Alejandro González Iñárritu, Jon Kilik, Ann Ruark, Fernando Bovaira, Sandra Hermida, Guillermo del Toro","Alejandro González Iñárritu, Armando Bó Jr.Nicolás Giacobone",Gustavo Santaolalla,Rodrigo Prieto,,"Televisió de Catalunya, Televisión Española, Cha Cha Cha Films, Focus Features International",,25100000.0,0,alejandro gonzalez,mexico,drama,javier bardem,espanol,alejandro gonzalez,alejandro gonzalez,gustavo santaolalla,rodrigo prieto,,televisio de,0.8028521720135213,,-0.11963931420714057
212,Kynódontas,Yorgos Lanthimos,Grecia,2010,Drama,97.0,"Christos Stergioglou, Michelle Valley, Aggeliki Papoulia, Mary Tsoni, Christos Passalis, Anna Kalaitzidou",Griego,"Iraklis Mavroidis, Athina Rachel Tsangari, Giorgos Tsourianis","Yorgos Lanthimos, Efthymis Filippou",,Thimios Bakatatakis,,Boo Productions,200000.0,384147.0,0,yorgos lanthimos,grecia,drama,christos stergioglou,griego,iraklis mavroidis,yorgos lanthimos,,thimios bakatatakis,,boo productions,-0.5975889592695105,-0.13493822211475115,-0.11964012334018984
213,Incendies,Denis Villeneuve,Canadá,2010,Drama,133.0,"Lubna Azabal, Maxim Gaudette, Rémy Girard, Mélissa Désormeaux-Poulin, Allen Altman, Baya Belal, Mohamed Majd, Frédéric Paquet, John Dunn-Hill, Jackie Sawiris, Hind Kamel, Nabil Sawalha, Robert Auclair",Francés,"Luc Déry, Phoebe Greenberg, Ziad Touma, Anthony Doncque, Kim Mc, Craw, Penny Mancuso, Miléna Poylo","Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne",Grégoire Hetzel,André Turpin,Sophie Lefebvre,Micro_scope,,16025025.0,0,denis villeneuve,canada,drama,lubna azabal,frances,luc dery,denis villeneuve,gregoire hetzel,andre turpin,sophie lefebvre,micro_scope,0.41072865525427243,,-0.11963961129833114
214,Hors-la-loi,Rachid Bouchareb,Francia,2010,Drama,140.0,"Jamel Debbouze, Roschdy Zem, Sami Bouajila, Samir Guesmi, Abdelkader Secteur, Assaâd Bouab, Bernard Blancan, Chafia Boudraa, Christian Crahay, Jean-Pierre Lorit, Larbi Zekkal, Mourad Khen, Sabrina Seyvecou, Thibault de Montalembert, Corentin Lobet, Mohamed Grayaa, Alain Blazquez",Árabe,,Rachid Bouchareb,Armand Amar,Christophe Beaucarne,,,,,0,rachid bouchareb,francia,drama,jamel debbouze,arabe,,rachid bouchareb,armand amar,christophe beaucarne,,,0.606790413633897,,
215,Yodaí-e Nader az Simín,Asghar Farhadi,Irán,2011,Drama,123.0,"Leila Hatami, Payman Maadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi",Persa,Asghar Farhadi,Asghar Farhadi,Sattar Oraki,Mahmoud Kalari,,,500000.0,12800000.0,1,asghar farhadi,iran,drama,leila hatami,persa,asghar farhadi,asghar farhadi,sattar oraki,mahmoud kalari,,,0.1306404289976661,-0.1349381135741034,-0.11963971687730153
216,Bullhead,Michaël R. Roskam,Bélgica,2011,Drama,128.0,Matthias Schoenaerts  Jeroen Perceval  Barbara Sarafian,Neerlandés,Savage Film,Michaël R. Roskam,Raf Keunen,,,,,,0,michael r.,belgica,drama,matthias schoenaerts,neerlandes,savage film,michael r.,raf keunen,,,,0.27068454212596926,,
217,In Darkness,Agnieszka Holland,Canadá,2011,Drama,144.0,"Robert Więckiewicz, Kinga Preis, Agnieszka Grochowska, Maria Schrader, Herbert Knaup, Marcin Bosak, Benno Fürmann, Krzysztof Skonieczny, Julia Kijowska, Michal Zurawski, Piotr Glowacki, Filip Garbacz, Weronika Rosati, Joachim Paul Assböck, Ireneusz Czop, Andrzej Mastalerz, Piotr Nowak, Olena Leonenko, Etel Szyc, Maja Bohosiewicz, Jeremias Koschorz, Frank Köbe, Dorota Liliental",Polaco,Juliusz Machulski,David F. Shamoon,Antoni Łazarkiewicz,Jolanta Dylewska,,,,,0,agnieszka holland,canada,drama,robert wieckiewicz,polaco,juliusz machulski,david f.,antoni lazarkiewicz,jolanta dylewska,,,0.7188257041365395,,
218,Monsieur Lazhar,Philippe Falardeau,Canadá,2011,Drama,94.0,"Mohamed Fellag, Sophie NélisseÉmilien Néron, Danielle Proulx, Brigitte Poupart, Jules Philip",francés,"Luc Déry, Kim Mc, Craw",Philippe Falardeau,Martin Léon,Ronald Plante,Francesca Chamberland,Micro_Scope,,,0,philippe falardeau,canada,drama,mohamed fellag,frances,luc dery,philippe falardeau,martin leon,ronald plante,francesca chamberland,micro_scope,-0.6816154271464924,,
219,Amor,Michael Haneke,"Austria, Francia, Alemania",2012,Drama,127.0,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert",francésinglés,"Margaret Ménégoz, Michael Katz, Veit Heiduschka, Stefan Arndt",Michael Haneke,Franz Schubert,Darius Khondji,,"Ver lista, X-Filme Creative Pool, Wega Film, France 3 cinéma, ARD degeto, Bayerischer Rundfunk, Westdeutscher Rundfunk, Canal+France télévisions",,29900000.0,1,michael haneke,austria,drama,jean-louis trintignant,francesingles,margaret menegoz,michael haneke,franz schubert,darius khondji,,ver lista,0.24267571950030864,,-0.11963915706756556
220,Kon-Tiki,Joachim Rønning,Noruega,2012,Histórica,118.0,"Pål Sverre Hagen, Anders Baasmo Christiansen, Gustaf Skarsgård, Tobias Santelmann",Inglés,"Aage Aaberge, Jeremy Thomas","Petter Skavlan, Allan Scott",Johan Söderqvist,Geir Hartly Andreassen,,Nordisk Film,155000000.0,228000000.0,0,joachim ronning,noruega,historica,pal sverre,ingles,aage aaberge,petter skavlan,johan soderqvist,geir hartly,,nordisk film,-0.009403684130637099,-0.1348822151405197,-0.11963267178635519
221,No,Pablo Larraín,Chile,2012,Drama,118.0,"Gael García Bernal, Alfredo Castro, Luis Gnecco, Néstor Cantillana, Antonia Zegers, Jaime Vadell, Marcial Tagle",Español,Juan de Dios Larraín  Pablo Larraín,"Pedro Peirano, A partir de la obra de teatro El plebiscito de Antonio Skármeta",Carlos Cabezas Rocuant,Sergio Armstrong,,Fábula,,2343664.0,0,pablo larrain,chile,drama,gael garcia,espanol,juan de,pedro peirano,carlos cabezas,sergio armstrong,,fabula,-0.009403684130637099,,-0.11964005919067554
222,Un asunto real,Nikolaj Arcel,Dinamarca,2012,Drama,137.0,"Mads Mikkelsen, Alicia Vikander, Mikkel Følsgaard",danés,"Meta Louise Foldager, Sisse Graum Jørgensen, Louise Vesth",Nikolaj Arcel y Rasmus Heisterberg,"Gabriel Yared, Cyrille Aufort",Rasmus Videbæk,,"DRTVFilm i Väst, Sveriges Television, Zentropa",,6047932.0,0,nikolaj arcel,dinamarca,drama,mads mikkelsen,danes,meta louise,nikolaj arcel,gabriel yared,rasmus videbaek,,drtvfilm i,0.522763945756915,,-0.11963993792252986
223,War Witch,Kim Nguyen,Canadá,2012,Drama,90.0,"Rachel Mwanza, Serge Kanyinda, Alain Lino Mic Eli Bastien","Francés, Lingala","Pierre Even, Marie-Claude Poulin, Kim Nguyen",Kim Nguyen,"Gabriel Yared, Cyrille Aufort",Nicolas Bolduc,,,,,0,kim nguyen,canada,drama,rachel mwanza,frances,pierre even,kim nguyen,gabriel yared,nicolas bolduc,,,-0.793650717649135,,
224,La gran belleza,Paolo Sorrentino,Italia  Francia,2013,"Comedia, drama",142.0,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso, Iaia Forte, Pamela Villoresi, Galatea Ranzi, Franco Graziosi, Giorgio Pasotti, Massimo Popolizio, Luca Marinelli, Serena Grandi, Vernon Dobtcheff, Dario Cantarelli, Anita Kravos, Massimo De Francovich, Roberto Herlitzka, Isabella Ferrari, Giulio Brogi, Pasquale Petrolo, Claudio Gregori, Fanny Ardant, Ivan Franek, Stefania Barca, Paolo Mazzarelli, Lorenzo Gioielli, Nicola Giuliano, Giusi Merli, Giulia Di Quilio",italiano,Nicola Giuliano  Francesca Cima,Paolo Sorrentino  Umberto Contarello,Lele Marchitelli,Luca Bigazzi,Daniela Ciancio,"Medusa Film, PathéFrance 2Indigo Film",,,1,paolo sorrentino,italia francia,drama,toni servillo,italiano,nicola giuliano,paolo sorrentino,lele marchitelli,luca bigazzi,daniela ciancio,medusa film,0.6628080588852182,,
225,Jagten,Thomas Vinterberg,Dinamarca,2013,Drama,115.0,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Folgelstrøm, Susse Wold",Danés,"Morten Kaufmann, Sisse Graum Jørgensen","Tobias Lindholm, Thomas Vinterberg",Nikolaj Egelund,Charlotte Bruus Christensen,,Zentropa Entertainments,,,0,thomas vinterberg,dinamarca,drama,mads mikkelsen,danes,morten kaufmann,tobias lindholm,nikolaj egelund,charlotte bruus,,zentropa entertainments,-0.093430152007619,,
226,The Missing Picture,Rithy Panh,Camboya,2013,Documental,92.0,"Jean-Baptiste Phou, Randal Douc",Francés,Catherine Dussart,Rithy Panh Christophe Bataille,Marc Marder,Prum Mesa,,,49768.0,52164.0,0,rithy panh,camboya,documental,jean-baptiste phou,frances,catherine dussart,rithy panh,marc marder,prum mesa,,,-0.7376330723978136,-0.1349382764690131,-0.1196401342084539
227,Omar,Hany Abu-Assad,Palestina,2013,Suspense,96.0,"Adam Bakri, Leem Lubany",Árabe,"Hany Abu-Assad Waleed Zuaiter, David Gerson",Hany Abu-Assad,,Ehab Assal,,ZBROS,,,0,hany abu-assad,palestina,suspense,adam bakri,arabe,hany abu-assad,hany abu-assad,,ehab assal,,zbros,-0.6255977818951711,,
228,Ida,Paweł Pawlikowski,Polonia,2014,Drama,82.0,"Agata Trzebuchowska, Agata Kulesza",Polaco,"Eric Abraham, Piotr Dzieciol, Ewa Puszczynska","Paweł Pawlikowski, Rebecca Lenkiewicz",Kristian Eidnes Andersen,"Lukasz Zal, Ryszard Lenczewski","Ola Staszko, Agata Winska","Opus Film, Phoenix Film Investments",,11100000.0,1,pawel pawlikowski,polonia,drama,agata trzebuchowska,polaco,eric abraham,pawel pawlikowski,kristian eidnes,lukasz zal,ola staszko,opus film,-1.01772129865442,,-0.11963977253090102
229,Leviatán,Andréi Zviáguintsev,Rusia,2014,Drama,141.0,"Alekséi Serebryakov, Elena Lyádova, Vladímir Vdovichénkov, Román Madyánov",ruso,Alexander Rodnyansky,"Andréi Zviáguintsev, Oleg Neguin",Philip Glass,Mijaíl Krichman,,Non-Stop Production,220000000.0,245794.0,0,andrei zviaguintsev,rusia,drama,aleksei serebryakov,ruso,alexander rodnyansky,andrei zviaguintsev,philip glass,mijail krichman,,non-stop production,0.6347992362595576,-0.13485869800017702,-0.11964012786950892
230,Mandariinid,Zaza Urushadze,"Estonia, Georgia",2014,Drama,87.0,"Lembit Ulfsak, Elmo Nüganen, Mikheil Meskhi, Giorgi Nakashidze, Raivo Trass",estoniorusogeorgiano,"Ivo Felt, Zaza Urushadze",Zaza Urushadze,Niaz Diasamidze,Rein Kotov,,Allfilm,650000.0,,0,zaza urushadze,estonia,drama,lembit ulfsak,estoniorusogeorgiano,ivo felt,zaza urushadze,niaz diasamidze,rein kotov,,allfilm,-0.8776771855261168,-0.13493805930377953,
231,Timbuktu,Abderrahmane Sissako,Mauritania,2014,Drama,100.0,"Ibrahim Ahmed, Toulou Kiki, Hichem Yacoubi",Tamashek,"Sylvie Pialat, Etienne Comar","Abderrahmane Sissako, Kessen Tall",Amine Bouhafa,Sofian El Fani,Amy Sow,Arches Films,,,0,abderrahmane sissako,mauritania,drama,ibrahim ahmed,tamashek,sylvie pialat,abderrahmane sissako,amine bouhafa,sofian el,amy sow,arches films,-0.5135624913925285,,
232,Relatos salvajes,Damián Szifron,Argentina,2014,"Antología, Suspense, Drama, Humor Absurdo, Comedia Oscura",122.0,"Ricardo Darín, Oscar Martínez, Leonardo SbaragliaÉrica Rivas, Rita Cortese, Julieta Zylberberg, Darío Grandinetti",Español,"Agustín Almodóvar, Pedro Almodóvar, Esther García, Matías Mosteirín, Felipe Photiades, Gerardo Rozín, Hugo Sigman, Axel Kuschevatzky",Damián Szifron,Gustavo Santaolalla,Javier Juliá,,"Kramer & Sigman Films, El Deseo, Telefe, Corner Contenidos",4000000.0,30642000000000.0,0,damian szifron,argentina,drama,ricardo darin,espanol,agustin almodovar,damian szifron,gustavo santaolalla,javier julia,,kramer &,0.10263160637200545,-0.13493684726654648,0.8834996260633043
233,El hijo de Saúl,László Nemes,Hungría,2015,Drama,107.0,"Géza Röhrig, Levente Molnár, Urs Rechn",Húngaro,"Gábor Sipos, Gábor Rajna","László Nemes, Clara Royer",László Melis,Mátyás Erdély,Edit Szűcs,Laokoon Filmgroup,,,1,laszlo nemes,hungria,drama,geza rohrig,hungaro,gabor sipos,laszlo nemes,laszlo melis,matyas erdely,edit szucs,laokoon filmgroup,-0.3175007330129041,,
234,El abrazo de la serpiente,Ciro Guerra,"Argentina, Colombia, Venezuela",2015,Aventuras,125.0,"Jan Bijvoet, Brionne Davis, Nilbio Torres, Antonio Bolívar, Yauenkü Migue, Nicolás Cancino, Luigi Sciamanna",Latín,Cristina Gallego,"Ciro Guerra, Jacques Toulemonde Vidal",Nascuy Linares,David Gallego,,"Ciudad Lunar Producciones, Caracol Cine, Norte, Sur Producciones, Buffalo Films, Dago Producciones",15000000.0,,0,ciro guerra,argentina,aventuras,jan bijvoet,latin,cristina gallego,ciro guerra,nascuy linares,david gallego,,ciudad lunar,0.18665807424898737,-0.1349328674427962,
235,Mustang,Deniz Gamze Ergüven,Francia,2015,Drama,97.0,"Güneş Şensoy, Doğa Doğuşlu, Elit İşcan, Tuğba Sunguroğluİlayda Akdoğan",Turco,Charles Gillibert,"Deniz Gamze Ergüven, Alice Winocour",Warren Ellis,"David Chizallet, Ersin Gok",Selin Sozen,CG Cinema,13000000.0,,0,deniz gamze,francia,drama,gunes sensoy,turco,charles gillibert,deniz gamze,warren ellis,david chizallet,selin sozen,cg cinema,-0.5975889592695105,-0.13493359104711444,
236,Theeb,Naji Abu Nowar,"Jordania, Emiratos Árabes Unidos, Reino Unido, Catar",2015,Drama,100.0,"Jacir Eid Al-Hwietat, Hussein Salameh Al-Sweilhiyeen",árabe,"Diala Al Raie, Bassel Ghandour, Nasser Kalaj, Yanal Kassay, Rupert Lloyd, Laith Majali, Nadine Toukan","Naji Abu Nowar, Bassel Ghandour",Jerry Lane,Wolfgang Thaler,Jamila Aladdin,"Immortal Entertainment, Bayt Al Shawareb, Noor Pictures",,,0,naji abu,jordania,drama,jacir eid,arabe,diala al,naji abu,jerry lane,wolfgang thaler,jamila aladdin,immortal entertainment,-0.5135624913925285,,
237,Krigen,Tobias Lindholm,Dinamarca,2015,Cine bélico,115.0,"Johan Philip Asbæk, Søren Malling, Dulfi al-Jabouri, Dar Salim, Charlotte Munck, Tuva Novotny, Petrine Agger, Alex Høgh Andersen, Christian ""Krølle"" Pedersen, David Barrett",Danés,"René Ezra, Tomas Radoor",Tobias Lindholm,Sune Rose Wagner,Magnus Nordenhof Jønck,,Nordisk Film,,,0,tobias lindholm,dinamarca,cine belico,johan philip,danes,rene ezra,tobias lindholm,sune rose,magnus nordenhof,,nordisk film,-0.093430152007619,,
238,Forushandeh,Asghar Farhadi,"Irán, Francia",2016,Drama,125.0,"Shahab Hosseini, Taraneh Alidoosti",Persa,"Alexandre Mallet-Guy, Asghar Farhadi",Asghar Farhadi,Sattar Oraki,Hossein Jafarian,,,,,1,asghar farhadi,iran,drama,shahab hosseini,persa,alexandre mallet-guy,asghar farhadi,sattar oraki,hossein jafarian,,,0.18665807424898737,,
239,Under sandet,Martin Zandvliet,Dinamarca,2016,Cine bélico,101.0,"Roland Möller, Mikkel Følsgaard, Louis Hofmann, Joel Basman, Emil Belton, Oskar Belton, Oskar Bökelmann, Leon Seidel, Joel Basman, Karl Alexander Seidel, Maximilian Beck",Alemán,Mikael Rieks,Martin Zandvliet,,Camilla Hjelm Knudsen,Stefanie Bieker,Nordisk Film ST,,355000000.0,0,martin zandvliet,dinamarca,cine belico,roland moller,aleman,mikael rieks,martin zandvliet,,camilla hjelm,stefanie bieker,nordisk film,-0.48555366876686795,,-0.11962851413509967
240,Un hombre llamado Ove,Hannes Holm,Suecia,2016,drama,116.0,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll, Chatarina Larsson, Johan Widerberg, Anna-Lena Bergelin",sueco,"Annica Bellander, Nicklas Wikström Nicastro",Hannes Holm,Gaute Storaas,Göran Hallberg,Camilla Lindblom,Tre Vänner,,258000000.0,0,hannes holm,suecia,drama,rolf lassgard,sueco,annica bellander,hannes holm,gaute storaas,goran hallberg,camilla lindblom,tre vanner,-0.06542132938195837,,-0.11963168966401137
241,Tanna,"Martin Butler, Bentley Dean",Australia,2016,Drama,100.0,"Marie Wawa, Mungau Dain",Nauvhal,"Carolyn Johnson, Bentley Dean, Martin Butle","Martin Butler, Bentley Dean, John Collee",Anthony Partos,Bentley Dean,,Lightyear Entertainment,,,0,martin butler,australia,drama,marie wawa,nauvhal,carolyn johnson,martin butler,anthony partos,bentley dean,,lightyear entertainment,-0.5135624913925285,,
242,Toni Erdmann,Maren Ade,"Alemania, Austria",2016,Drama,162.0,"Peter Simonischek, Sandra Hüller, Michael Wittenborn, Thomas Loibl, Trystan Pütter, Hadewych Minis, Lucy Russell, Ingrid Bisu, Vlad Ivanov, Victoria Cocias",alemáninglésrumano,"Maren Ade, Jonas Dornbach, Janine Jackowski",Maren Ade,Patrick Veigel,Patrick Orth,,"Komplizen Film​Coop99KNMMissing Link Films, SWRWDRArte",,7100000.0,0,maren ade,alemania,drama,peter simonischek,alemaninglesrumano,maren ade,maren ade,patrick veigel,patrick orth,,komplizen film coop99knmmissing,1.222984511398431,,-0.11963990348054686
243,Una mujer fantástica,Sebastián Lelio,Chile,2017,Drama,104.0,"Daniela Vega, Francisco Reyes",Español,"Juan de Dios Larraín, Pablo Larraín, Sebastián Lelio, Gonzalo Maza","Sebastián Lelio, Gonzalo Maza",Matthew Herbert,Benjamín Echazarreta,,"Fábula, Komplizen Film",,3730327.0,1,sebastian lelio,chile,drama,daniela vega,espanol,juan de,sebastian lelio,matthew herbert,benjamin echazarreta,,fabula,-0.401527200889886,,-0.11964001379491836
244,El insulto,Ziad Doueiri,Líbano,2017,Drama,112.0,"Adel Karam, Kamel El Basha, Rita Hayek, Julia Kassar",Árabe,"Rachid Bouchareb, Jean Bréhat, Julie Gayet, Antoun Sehnaoui, Nadia Turincev","Ziad Doueiri, Joelle Touma",Éric Neveux,Tommaso Fiorilli,,"Ezekiel Films, Tessalit Productions, Rouge International",,,0,ziad doueiri,libano,drama,adel karam,arabe,rachid bouchareb,ziad doueiri,eric neveux,tommaso fiorilli,,ezekiel films,-0.17745661988460093,,
245,Sin amor,Andréi Zviáguintsev,Rusia,2017,Drama,128.0,"Aleksey Rozin, Mariana Spivak, Andris Keišs, Vladimir Vdovichenkov, Evgeniya Dmitrieva",Ruso,"Alexander Rodnyansky, Sergey Melkumov, Gleb Fetisov","Oleg Negin, Andréi Zviáguintsev","Evgueni Galperine, Sacha Galperine",Mikhail Krichman,,"Non-Stop Production, Arte France Cinéma, Les Films du Fleuve, Why Not Productions, Senator Film Produktion",,4819164.0,0,andrei zviaguintsev,rusia,drama,aleksey rozin,ruso,alexander rodnyansky,oleg negin,evgueni galperine,mikhail krichman,,non-stop production,0.27068454212596926,,-0.11963997814921347
